id;libelle;xp
18364;Étoile d'Or d'El Piko;60.0
8800;Étoffe Zoth;1.0
8384;Étoffe Magique de Moon;29.0
8808;Étoffe du Roissingue;4.0
651;Étoffe du Mulou;2.0
8082;Étoffe du Fauchalak;13.0
11319;Étoffe de Vigie Pirate;4.0
8487;Étoffe de Sphincter Cell;96.0
11253;Étoffe de Rat Bougri;0.5
8801;Étoffe de Ouassingue;0.045454545
8791;Étoffe de Meupette;29.0
11932;Étoffe de Kolosso;254.0
11249;Étoffe de Kaniglou;23.0
13916;Étoffe de Grodruche;92.0
11940;Étoffe de Glourmand;76.0
8002;Étoffe de Dok Alako;0.2
11925;Étoffe de Croleur;76.0
1696;Étoffe de Choudini;22.0
8778;Étamine de Floribonde;2.0
13703;Épingle à Cheveux de Saphira;1.0
12467;Épine Dorsale de Grozilla;10.0
17613;Épine de Grath;1.0
17980;Épine de Diondin;10.0
9280;Épine d'Ougah;19.0
14511;Élastique de Gobvious;8.0
8806;Écusson du Sergent Zoth;8.0
8773;Écorce de Nerbe;20.0
1682;Écorce de Liroye Merline;5.0
8774;Écorce de Fécorce;20.0
8771;Écorce de Floribonde;21.0
8775;Écorce de Chiendent;20.0
9263;Écorce de Champaknyde;53.0
8772;Écorce de Brouture;20.0
11891;Écorce d'Abrazif;6.0
16154;Écorce d'Abrakne Sombre;0.5
18368;Écailles d'Ouroboulos;1.0
11318;Écaille de Harpirate;3.0
14263;Écaille de Grozilla;2.0
14265;Écaille de Grasmera;2.0
17972;Écaille de Gambaf;3.0
11933;Vomer d'Apériglours;34.0
13977;Volve de Mérulor;9.0
11890;Volve de Fongeur;6.0
11888;Volve de Fistulor;6.0
17964;Volant hydraulique;576.0
2488;Viscères de Scorbute;3.0
13732;Vieille Ventouse de Kralamoure;0.5
19400;Vertèbre de Trépavois;10.0
11334;Vertèbre d'Obsidiantre;161.0
8813;Ventouse du Kralamoure géant;28.0
15455;Venin d'Éperfide;6.0
11326;Ulna de Solfataré;39.0
15444;Tête de mort;2.0
11324;Téphra d'Atomystique;46.0
11332;Tuf de Mofette;8.0
2607;Trukikol Mort;0.5
1002;Tronc de Kokoko;0.166666667
9267;Trompe de la Tromperelle;56.0
17978;Trident de Tryde;3.0
8786;Tresse du Poolay;15.0
8403;Tresse du Koulosse;3.0
2617;Tranche de Nodkoko;0.166666667
8810;Tourbe séchée de Tourbassingue;5.0
8755;Touffe rousse du Flib;3.0
13704;Touffe de Poils de Rubise;1.0
15726;Touffe de cheveux de Soissanth;5.0
16155;Toile d'Abrakne Sombre;6.0
8802;Tibia du Guerrier Zoth;8.0
8057;Tibia de Koalak Fossoyeur;1.0
2806;Testicules Magiques du Meulou;29.0
2805;Testicules Magiques de Muloubard;8.0
7386;Testicules du Tanukouï San;60.0
292;Testicules de Cocholou;8.0
17984;Tentacule de N'Yalg;3.0
17983;Tentacule de Grofond;3.0
13342;Tatouage de Mauvais Garçon;0.25
8784;Talon d'achille de l'Abrakleur sombre;22.0
8780;Sépale de Nerbe;2.0
13946;Sépale de Drosérâle;92.0
14927;Symbole des Obscuranti;44.0
10970;Sueur de dragodinde;0.1
13737;String en Cuir de la Mama Bwork;54.0
18363;String de Pampactus;2.0
13974;Sternum de Mansordide;92.0
11251;Sternum de Chachachovage;3.0
17968;Statuette de Snedon;579.0
13933;Stapes de Frimar;9.0
13164;Sphénoïde du Kimbo;12.0
2564;Sourcils de Tronknyde;0.5
15178;Sourcil de Barbétoal;5.0
8797;Souche de l'Abrakleur clair;3.0
18318;Soie chatoyante;0.0
14517;Slip troué de Dramak;29.0
3208;Slip de Bwork Archer;0.035714286
15462;Slip d'Elsoummo;2.0
448;Silex;0.142857143
13707;Shampooing au Kaliptus de Saphira;10.0
13140;Serrure du Coffre des Forgerons;1.0
15716;Serre d'Ikargn;12.0
15691;Sel de Baleine;34.0
11333;Scorie d'Obsidiantre;16.0
13339;Sceau Royal Contrefait;0.25
17625;Sceau du Roi Joueur;10.0
17963;Sceau des fondateurs;720.0
18543;Scarabée Chrysonéfritin;47.0
13994;Scapula du Comte Harebourg;34.0
11322;Scapula de Ben le Ripate;116.0
2575;Scalp de Mulounoké;8.0
13924;Scalp de Klime;338.0
2268;Scalp de Bwork Archer;0.333333333
15451;Sang du Toxoliath;29.0
18729;Sang de Viandargh;8.0
13925;Sang de Ventrublion;9.0
2012;Sang de Scorbute;0.0
13929;Sang de Karkanik;9.0
14859;Sang de Harpo;10.0
19405;Sang de Calciné;46.0
8738;Sacrum magistral;0.5
15459;Sacoche de Kartouche;2.0
1684;Sac à Patates Sombre;0.5
1683;Sac à Patates Clair;0.5
8408;Sabot du Minotot;120.0
15733;Sablier miniature;3.0
18366;Sable Fin;3.0
11325;Résidu de Solfataré;4.0
1523;Rune Vi;0.090909091
11639;Rune Tac;1.0
7434;Rune So;5.0
1521;Rune Sa;0.5
7455;Rune Ré Terre;0.333333333
11651;Rune Ré Pou;0.333333333
11643;Rune Ré Pme;3.0
7459;Rune Ré Per Terre;3.0
7460;Rune Ré Per Neutre;3.0
18723;Rune Ré Per Mé;1.0
7457;Rune Ré Per Feu;3.0
7560;Rune Ré Per Eau;3.0
18724;Rune Ré Per Di;1.0
7458;Rune Ré Per Air;3.0
11641;Rune Ré Pa;3.0
7456;Rune Ré Neutre;0.333333333
7452;Rune Ré Feu;0.333333333
7454;Rune Ré Eau;0.333333333
11655;Rune Ré Cri;0.333333333
7453;Rune Ré Air;0.333333333
11647;Rune Ret Pme;3.0
11645;Rune Ret Pa;3.0
1554;Rune Ra Vi;1.0
1552;Rune Ra Sa;4.0
10619;Rune Ra Pui;2.0
7445;Rune Ra Pod;1.0
7450;Rune Ra Ini;1.0
1553;Rune Ra Ine;1.0
1551;Rune Ra Fo;1.0
1556;Rune Ra Cha;1.0
1555;Rune Ra Age;1.0
7436;Rune Pui;0.333333333
7451;Rune Prospe;0.5
7443;Rune Pod;0.090909091
7438;Rune Po;130.0
1548;Rune Pa Vi;0.25
11640;Rune Pa Tac;4.0
19337;Rune Pa So;5.0
1546;Rune Pa Sa;1.0
19342;Rune Pa Ré Terre;0.333333333
11652;Rune Pa Ré Pou;1.0
11644;Rune Pa Ré Pme;8.0
11642;Rune Pa Ré Pa;8.0
19341;Rune Pa Ré Neutre;0.333333333
19340;Rune Pa Ré Feu;0.333333333
19339;Rune Pa Ré Eau;0.333333333
11656;Rune Pa Ré Cri;1.0
19338;Rune Pa Ré Air;0.333333333
11648;Rune Pa Ret Pme;8.0
11646;Rune Pa Ret Pa;8.0
10662;Rune Pa Prospe;1.0
7444;Rune Pa Pod;0.25
7449;Rune Pa Ini;0.25
1547;Rune Pa Ine;0.25
11638;Rune Pa Fui;4.0
1545;Rune Pa Fo;0.25
