id;libelle;xp;source
274;Pièce du Puzzle de la Griffe;1.0;DPLN_2025
274;Pièce du Puzzle de la Griffe;1.0;DPLN_2026
274;Pièce du Puzzle de la Griffe;1.454;Dofous
274;Pièce du Puzzle de la Griffe;1.090125;Dofus2
276;Pièce du Trésor du Badoul;1.0;DPLN_2025
276;Pièce du Trésor du Badoul;1.0;DPLN_2026
276;Pièce du Trésor du Badoul;1.454;Dofous
276;Pièce du Trésor du Badoul;1.090125;Dofus2
286;Levure de Boulanger;0.143;Dofous
286;Levure de Boulanger;0.1092;Dofus2
287;Graine de Sésame;0.266;Dofous
287;Graine de Sésame;0.032925;Dofus2
288;Graine de Tournesol;0.072;Dofous
288;Graine de Tournesol;0.0537;Dofus2
289;Blé;0.03;Dofous
289;Blé;0.0225;Dofus2
290;Champignon;0.565;Dofous
290;Champignon;0.42345;Dofus2
291;Poils de Mulounoké;0.5;DPLN_2025
291;Poils de Mulounoké;0.5;DPLN_2026
291;Poils de Mulounoké;1.349;Dofous
291;Poils de Mulounoké;1.01205;Dofus2
292;Testicules de Cocholou;8.0;DPLN_2025
292;Testicules de Cocholou;8.0;DPLN_2026
292;Testicules de Cocholou;8.043;Dofous
292;Testicules de Cocholou;6.03225;Dofus2
300;Graine de Pavot;0.075;Dofous
300;Graine de Pavot;0.067125;Dofus2
301;Plume de Tofu;0.176;Dofous
301;Plume de Tofu;0.132;Dofus2
302;Tambour de Gobaladée;0.206;Dofous
302;Tambour de Gobaladée;0.15435;Dofus2
303;Bois de Frêne;0.03;Dofous
303;Bois de Frêne;0.0225;Dofus2
304;Cuir de Scélérat Strubien;0.125;DPLN_2025
304;Cuir de Scélérat Strubien;0.125;DPLN_2026
304;Cuir de Scélérat Strubien;0.111;Dofous
304;Cuir de Scélérat Strubien;0.083175;Dofus2
305;Dent de Wabbit;1.56;Dofous
305;Dent de Wabbit;0.193875;Dofus2
306;Fleur de Pissenlit Diabolique;0.073;Dofous
306;Fleur de Pissenlit Diabolique;0.054525;Dofus2
307;Ailes de Moskito;0.075;Dofous
307;Ailes de Moskito;0.067125;Dofus2
308;Coquille de Dragoeuf Calcaire;0.678;Dofous
308;Coquille de Dragoeuf Calcaire;0.508725;Dofus2
309;Pétale de Rose Démoniaque;0.067;Dofous
309;Pétale de Rose Démoniaque;0.050775;Dofus2
310;Os de Chafer;0.055;Dofous
310;Os de Chafer;0.0384;Dofus2
311;Eau Potable;0.047;Dofous
311;Eau Potable;0.035025;Dofus2
312;Fer;0.03;Dofous
312;Fer;0.0225;Dofus2
