x;y
1;1
2;2
3;3
4;4
5;6
6;8
7;10
8;12
9;14
10;16
11;19
12;22
13;25
14;29
15;33
16;38
17;43
18;49
19;56
20;63
21;71
22;80
23;90
24;102
25;115
26;129
27;145
28;163
29;183
30;205
31;229
32;256
33;286
34;319
35;356
36;397
37;442
38;492
39;547
40;608
41;676
42;751
43;833
44;924
45;1024
46;1135
47;1257
48;1392
49;1540
50;1703
51;1883
52;2081
53;2299
54;2538
55;2801
56;3090
57;3408
58;3757
59;4141
60;4562
61;5024
62;5531
63;6088
64;6699
65;7369
66;8103
67;8908
68;9790
69;10756
70;11815
71;12975
72;14245
73;15635
74;71157
75;18823
76;20646
77;22641
78;24823
79;27209
80;29819
81;32673
82;35793
83;39203
84;42930
85;47003
86;51453
87;56315
88;61626
89;67427
90;73762
91;80679
92;88231
93;96476
94;105476
95;115299
96;126019
97;137716
98;150479
99;164403
100;179592
