:inventory_resources: Cristal inhibiteur (Niv. 200) | 20 000 :picto_experience: (9)
:inventory_resources: Croquette infusée du Kozaru (Niv. 200) | 13 956,045 :picto_experience: (13)
:inventory_resources: Croquette infusée du Kitsou (Niv. 200) | 13 886,146 :picto_experience: (13)
:inventory_resources: Croquette infusée du Kanig (Niv. 200) | 13 783,734 :picto_experience: (14)
:inventory_resources: Croquette infusée du Dragoeuf (Niv. 200) | 13 763,172 :picto_experience: (14)
:inventory_resources: Croquette infusée du Mulou (Niv. 200) | 13 734,525 :picto_experience: (14)
:inventory_resources: Croquette infusée du Timansot (Niv. 200) | 13 700,537 :picto_experience: (14)
:inventory_resources: Croquette infusée de la Truche (Niv. 200) | 13 688,638 :picto_experience: (14)
:inventory_resources: Croquette infusée du Trool (Niv. 200) | 13 684,047 :picto_experience: (14)
:inventory_resources: Croquette infusée de l'Abraknyde (Niv. 200) | 13 675,836 :picto_experience: (14)
:inventory_resources: Croquette infusée du Bambouto (Niv. 200) | 13 672,106 :picto_experience: (14)
:inventory_resources: Croquette infusée du Pandore (Niv. 200) | 13 667,518 :picto_experience: (14)
:inventory_resources: Croquette infusée du Moskito (Niv. 200) | 13 666,442 :picto_experience: (14)
:inventory_resources: Croquette infusée de la Boursoin (Niv. 200) | 13 660,268 :picto_experience: (14)
:inventory_resources: Croquette infusée du Koalak (Niv. 200) | 13 657,993 :picto_experience: (14)
:inventory_resources: Croquette infusée du Wabbit (Niv. 200) | 13 649,686 :picto_experience: (14)
:inventory_resources: Croquette infusée du Bwork (Niv. 200) | 13 646,887 :picto_experience: (14)
:inventory_resources: Croquette infusée de la Léolhyène (Niv. 200) | 13 641,762 :picto_experience: (14)
:inventory_resources: Croquette infusée du Scarafeuille (Niv. 200) | 13 634,484 :picto_experience: (14)
:inventory_resources: Croquette infusée du Scorbute (Niv. 200) | 13 633,458 :picto_experience: (14)
:inventory_resources: Croquette infusée de la Domoizelle (Niv. 200) | 13 632,924 :picto_experience: (14)
:inventory_resources: Croquette infusée du Champa (Niv. 200) | 13 632,068 :picto_experience: (14)
:inventory_resources: Croquette infusée du Chafer (Niv. 200) | 13 631,206 :picto_experience: (14)
:inventory_resources: Croquette infusée du Craqueleur (Niv. 200) | 13 628,812 :picto_experience: (14)
:inventory_resources: Croquette infusée de la Krokille (Niv. 200) | 13 625,937 :picto_experience: (14)
:inventory_resources: Croquette infusée du Thomondor (Niv. 200) | 13 625,893 :picto_experience: (14)
:inventory_resources: Croquette infusée du Noeul (Niv. 200) | 13 624,646 :picto_experience: (14)
:inventory_resources: Croquette infusée du Piou (Niv. 200) | 13 624,513 :picto_experience: (14)
:inventory_resources: Croquette infusée du Bwak (Niv. 200) | 13 624,131 :picto_experience: (14)
:inventory_resources: Croquette infusée de la Boufette (Niv. 200) | 13 623,817 :picto_experience: (14)
:inventory_resources: Croquette infusée du Gloutoblop (Niv. 200) | 13 622,913 :picto_experience: (14)
:inventory_resources: Croquette infusée de la Tofoune (Niv. 200) | 13 621,8 :picto_experience: (14)
:inventory_resources: Croquette infusée de l'Arakne (Niv. 200) | 13 619,286 :picto_experience: (14)
:inventory_resources: Binocles du Grand Chronomaître (Niv. 200) | 7 952,689 :picto_experience: (23)
:inventory_resources: Reflet de Bébémoth (Niv. 200) | 7 932,121 :picto_experience: (23)
:inventory_resources::picto_fragment: Légende de Ganymède (Niv. 200) | 7 750 :picto_experience: (24)
:inventory_resources::picto_fragment: Légende de Jahash Jurgen (Niv. 200) | 7 220 :picto_experience: (25)
:inventory_resources::picto_fragment: Légende de Corruption (Niv. 200) | 6 690 :picto_experience: (27)
:inventory_resources::picto_fragment: Légende de Servitude (Niv. 200) | 6 690 :picto_experience: (27)
:inventory_resources::picto_fragment: Légende de Guerre (Niv. 200) | 6 690 :picto_experience: (27)
:inventory_resources::picto_fragment: Légende de Misère (Niv. 200) | 6 690 :picto_experience: (27)
:inventory_resources::picto_fragment: Légende de Buhorado (Niv. 200) | 6 690 :picto_experience: (27)
:inventory_resources::picto_fragment: Légende d'Amayiro (Niv. 200) | 6 160 :picto_experience: (30)
:inventory_resources::picto_fragment: Légende de Rykke Errel (Niv. 200) | 6 160 :picto_experience: (30)
:inventory_resources: Accélérateur de propulsion (Niv. 200) | 5 892,304 :picto_experience: (31)
:inventory_resources: Attrape-peur (Niv. 200) | 5 746,875 :picto_experience: (32)
:inventory_resources: Sceau des fondateurs (Niv. 200) | 5 746,875 :picto_experience: (32)
:inventory_resources: Cristal intemporel (Niv. 200) | 5 739,379 :picto_experience: (32)
:inventory_resources: Cristal temporel (Niv. 200) | 5 739,379 :picto_experience: (32)
:inventory_resources::picto_fragment: Légende du Destin (Niv. 200) | 5 640 :picto_experience: (32)
:inventory_resources: Lest anti-tourbillon (Niv. 200) | 5 131,487 :picto_experience: (35)
:inventory_resources::picto_fragment: Légende du Cul Botté (Niv. 200) | 5 110 :picto_experience: (36)
:inventory_resources: Pièces de module (Niv. 50) | 5 000 :picto_experience: (36)
:inventory_resources: Statuette de Snedon (Niv. 200) | 4 974,375 :picto_experience: (37)
:inventory_resources: Volant hydraulique (Niv. 200) | 4 974,375 :picto_experience: (37)
:inventory_resources::picto_fragment: Légende de Fallanster (Niv. 200) | 4 580 :picto_experience: (40)
:inventory_resources::picto_fragment: Légende de Dodge (Niv. 200) | 4 060 :picto_experience: (45)
