id;libelle;xp
21205;Binocles du Grand Chronomaître;12862.17315
20661;Légende de Ganymède;5812.5
20969;Cristal temporel;5550.468975
20970;Cristal intemporel;5550.468825
20968;Reflet de Bébémoth;5431.5768
20660;Légende de Jahash Jurgen;5415.0
20659;Légende de Buhorado;5017.5
22418;Légende de Corruption;5017.5
22416;Légende de Guerre;5017.5
22415;Légende de Misère;5017.5
22417;Légende de Servitude;5017.5
20658;Légende de Rykke Errel;4620.0
17965;Accélérateur de propulsion;4419.227925
17967;Attrape-peur;4310.1564
17963;Sceau des fondateurs;4310.1564
20657;Légende du Destin;4230.0
17966;Lest anti-tourbillon;3848.615475
20656;Légende du Cul Botté;3832.5
17968;Statuette de Snedon;3730.781475
17964;Volant hydraulique;3730.781475
20655;Légende de Fallanster;3435.0
20654;Légende de Dodge;3045.0
20961;Relique de Bébémoth;2761.363725
20653;Légende de Mille Lieues;2647.5
20652;Légende de Dame Jhessica;2250.0
12740;Galet brasillant;1875.0
20651;Légende du Trompe-la-Mort;1860.0
20972;Nanogrine;1575.70305
20650;Légende de Crocobur;1462.5
17161;Bidoche Goûtue;1181.15985
14690;Essence du Minotot;1141.793475
20649;Légende de Brâm Barbe-Monde;1065.0
14703;Essence de Klime;949.21875
14706;Essence de Merkator;949.21875
14701;Essence de Missiz Frizz;949.21875
14704;Essence de Nileza;949.21875
14702;Essence de Sylargh;949.21875
14705;Essence du Comte Harebourg;949.21875
17159;Bidoche Noire;940.06845
29444;Galet rayonnant;937.5
14698;Essence de Fuji Givrefoux;923.19615
14696;Essence d'Ougah;761.255325
16008;Batterie rechargeable de l'Hyperscampe;750.0
14977;Bitte d'amarrage;750.0
13196;Cuir synthétique;750.0
15551;Bouteille de Gein;750.0
14936;Insigne des Justiciers;750.0
17118;Peau du Grand Kongoku;750.0
17117;Pied de Voldelor;750.0
11795;Racine de synthèse;750.0
1557;Rune Ga Pa;750.0
14868;Vieille Tête de Marteau;750.0
17157;Bidoche Gâtée;725.735175
14700;Essence du Glourséleste;696.374925
14699;Essence de Grolloum;696.374925
14697;Essence du Kolosso;696.374925
20648;Légende de Brumaire;675.0
17853;Jus de poisson méphitique;671.001225
14689;Essence du Kimbo;670.262775
24136;Essence de la Reine Amirukam;650.892825
24135;Essence du Roi Imagami;650.892825
1558;Rune Ga Pme;607.5
17116;Épaulière Massive du K.O.;600.0
17155;Bidoche Maigre;597.884925
15485;Sporme de Dremoan;562.5
13981;Alliage Ivre;562.5
17275;Orbe régénérant magistral;562.5
14685;Essence du Tynril;549.46785
14695;Essence du Bworker;543.53475
14693;Essence du Korriandre;543.53475
14694;Essence du Kralamoure Géant;520.031475
17852;Jus de poisson pestilentiel;503.193825
14688;Essence de Sphincter Cell;483.555075
17867;Hélice en laiton;480.0
17870;Socle en coquillage;480.0
17865;Marque des grands fonds;480.0
17869;Filtre à frousse;480.0
17866;Steamopompe;480.0
17868;Plombs de plongée;480.0
13367;Galet Solaire;468.75
17115;Scalp d'Anatak;465.0
13980;Cuir Onique;450.0
14691;Essence de l'Obsidiantre;445.878825
14692;Essence du Tengu Givrefoux;429.28725
17114;Poils de Zatoïshwan;412.5
15734;Essence de Vortex;379.6875
13995;Bandelette du Comte Harebourg;379.6875
13948;Braguette de Nileza;379.6875
13936;Culotte de Missiz Frizz;379.6875
13924;Scalp de Klime;379.6875
19911;Essence de la Larve de Koutoulou;379.6875
15704;Essence de la Reine des Voleurs;379.6875
19912;Essence d'Anerice la Shushess;379.6875
27405;Essence de Belladone;379.6875
19906;Essence de Bethel Akarna;379.6875
19914;Essence de Dazak Martegel;379.6875
19910;Essence de Dantinéa;379.6875
19909;Essence d'Ilyzaelle;379.6875
25318;Essence de Kabahal;379.6875
19908;Essence de Meno;379.6875
19916;Essence de Tal Kasha;379.6875
21217;Essence de Torkélonia;379.6875
26041;Essence de l'Éternel Conflit;379.6875
15705;Essence du Protozorreur;379.6875
15272;Essence du Roi Nidas;379.6875
13983;Incisive de Sylargh;379.6875
12152;Clef de la Maison du Papa Nowel;377.59785
16208;Fragment de Rubis Fertile;375.0
14268;Poche de magma de Grasmera;372.242625
21515;Essence de Corruption;368.52015
17151;Bidoche de Brousse;356.40495
21216;Clef du Sanctuaire de Torkélonia;345.9375
19515;Clef de la Tour de Bethel;345.9375
22128;Essence de Guerre;337.5
22129;Essence de Misère;337.5
22130;Essence de Servitude;337.5
17274;Orbe régénérant majeur;337.5
15095;Essence de Kanigroula;335.13135
14687;Essence de Ben le Ripate;322.9722
16207;Sceau Sylvestre;322.5
10272;Masque à Zag;315.7704
14144;Mycoses gelées;300.0
14142;Boulon neuf;300.0
14141;Racine cristalline;300.0
14143;Fermeture éclair;300.0
14676;Essence du Minotoror;293.6616
18067;Clef du Palais de Dantinéa;284.1345
17149;Bidoche Macérée;283.364625
19907;Essence de Solar;283.290075
18066;Clef du Vaisseau du Capitaine Meno;281.953125
18068;Clef du Temple de Koutoulou;281.953125
11517;Eclat temporel;281.249925
11883;Condyle de Fuji Givrefoux;281.249925
11944;Hamatum de Glourséleste;281.249925
11932;Étoffe de Kolosso;281.249925
27451;Essence de Barbéryl Clochecuivre;274.5
19913;Essence du Comte Razof;274.5
14975;Essence d'Ombre;274.5
14684;Essence du Chêne Mou;260.5617
21013;Boucle intemporelle;253.125
21012;Boucle temporelle;253.125
14679;Essence du Tofu Royal;248.72325
16472;Espadon Quichotte;228.75
17147;Bidoche Persillée;226.0827
24144;Substrat Astral;225.0
15703;Essence du Toxoliath;217.720575
9281;Fragment d'Ougalurette;217.20945
9401;Peau du Bworker;217.20945
20920;Clef du Temple du dieu Kao;214.5825
27714;Fleur de Cendrepierre;210.560625
14666;Essence du Dragon Cochon;208.719375
14668;Essence du Meulou;208.719375
8812;Encre du Kralamoure géant;208.619475
14686;Essence du Mansot Royal;208.3002
14671;Essence du Rasboul Majeur;202.098675
7438;Rune Po;195.0
12738;Galet rutilant;187.5
11334;Vertèbre d'Obsidiantre;178.87185
17145;Bidoche Saignante;177.945825
24134;Essence de Koumiho;174.0789
15735;Essence de XLII;174.0789
19938;Essence du Père Ver;174.0789
11342;Cuir de Tengu Givrefoux;170.13885
19915;Essence d'El Piko;168.6105
15362;Essence de la Haute Truche;168.6105
14678;Essence de Shihan et Hanshi;167.499975
25252;Clef du Rituel de Kabahal;164.0925
11282;Gants de protection;163.483125
23950;Clef de la Mémoire d'Orukam;161.7942
23951;Clef du Souvenir d'Imagiro;157.800225
14672;Essence du Maître Corbac;156.457425
23957;Pétale de Papier;154.3059
23965;Pétale d'encre;153.7542
26039;Clef de la Bataille de l'Aurore Pourpre;148.905
27404;Clef de la Chambre des maléfices;148.905
14680;Essence de Crocabulia;146.8308
8809;Culotte à l'envers du Roissingue;145.935
14677;Essence du Royalmouth;145.066875
14675;Essence du Blop Multicolore Royal;141.759825
8408;Sabot du Minotot;134.44365
8789;Chaussette du Kimbo;134.44365
15040;Queue de Kanigroula;134.44365
14681;Essence de Skeunk;134.0463
17736;Essence de Ush;133.465875
24133;Essence du Shogun Tofugawa;133.465875
11322;Scapula de Ben le Ripate;128.674125
12151;Clef de la Caverne de Nowel;121.2048
17864;Ambre gris;120.0
17851;Jus de poisson asphyxiant;118.04865
12451;Croc de Krokille;116.71875
17444;Lanières de knout;115.76535
14665;Essence de l'Abraknyde Ancestral;114.777975
10204;Potion de Sésanabolisant;114.559725
17442;Pointes de Knout;114.286425
14664;Essence du Wa Wobot;113.486775
17273;Orbe régénérant;112.5
23971;Diacritique de la Reine Amirukam;108.4821
23963;Diacritique du Roi Imagami;108.4821
26803;Essence d'Hell Mina;107.8125
15274;Essence du Phossile;107.8125
12468;Bézoard Ardent de Grozilla;106.745025
8487;Étoffe de Sphincter Cell;106.745025
17772;Clef du caveau du Roi Léorictus;94.35075
13366;Galet Lunaire;93.75
17153;Bidoche Fraîche;89.793525
25182;Appendice Démoniaque;89.3382
9976;Grattoir à dos inachevé;87.129975
14669;Essence de Moon;86.04075
11180;Clef des cavernes du Kolosso;85.19895
8916;Ambre du Tynril;84.8817
11181;Clef de l'Antichambre des Gloursons;84.719025
17981;Peau de Trithon;83.793075
14683;Essence de Founoroshi;83.74995
17139;Bidoche Rassie;83.549175
15533;Rossignol;83.536575
15475;Clef du Trône de la Cour Sombre;82.727175
19514;Clef de la Tour de Solar;82.523325
21514;Essence du Kharnozor;81.705225
14670;Essence de Dramak;81.705225
14047;Clef du Donjon du Comte Harebourg;80.7975
15690;Clef du Ventre de la Baleine;80.7975
19963;Clef de la Brasserie du roi Dazak;80.7975
18544;Clef de la Chambre de Tal Kasha;80.7975
14043;Clef de la Forgefroide de Missiz Frizz;80.7975
19049;Clef du Manoir des Katrepat;80.7975
22149;Clef de la Sentence de la Balance;80.7975
22401;Clef de la Tempête de l'Eliocalypse;80.7975
22148;Clef de l'Arbre de Mort;80.7975
14870;Clef de l'Aquadôme de Merkator;80.7975
14046;Clef du Laboratoire de Nileza;80.7975
19216;Clef du Belvédère d'Ilyzaelle;80.7975
14044;Clef du Transporteur de Sylargh;80.7975
22147;Clef du Trône de Sang;80.7975
22028;Clef des Fers de la Tyrannie;80.7975
14045;Clef des Salons privés de Klime;80.7975
10019;Seau de Pinces à Linge;79.81875
15280;Clef du Palais du roi Nidas;79.484175
7026;Aigue-Marine;79.27575
17781;Dissolvant Phosphorescent;78.5895
22203;Germes corrompus;78.005775
11281;Masque de protection;77.8302
22222;Collier d'esclave;77.55315
22253;Lame tranchante;77.55315
22052;Terre Stérile;77.55315
19233;Brûlâme encapsulé;75.9375
13985;Bec de Granduk;75.9375
13942;Bec de Dodox;75.9375
13987;Bec de Strigide;75.9375
13934;Moustache de Frimar;75.9375
14861;Broderie d'Eskoglyphe;75.9375
19968;Chope de Bière;75.9375
13944;Carapace de Termystique;75.9375
19074;Goulobule rouge;75.9375
27517;Cire de Cire Momore;75.9375
19412;Coquille de Submergé;75.9375
13940;Crinière de Krakal;75.9375
13914;Culotte de Harrogant;75.9375
13932;Cervelle de Verglasseur;75.9375
13917;Cervelle de Peunch;75.9375
13922;Dent de Cuirboule;75.9375
18543;Scarabée Chrysonéfritin;75.9375
26036;Pic de Ravageur;75.9375
13974;Sternum de Mansordide;75.9375
13928;Ethmoïde de Stalak;75.9375
27403;Fleur des protecteurs;75.9375
13950;Griffe de Kanimate;75.9375
20914;Éclat Kao brisé;75.9375
13930;Malleus de Karkanik;75.9375
14863;Chaussette du Cyclophandre;75.9375
13938;Molaire de Nessil;75.9375
13926;Molaire de Ventrublion;75.9375
13976;Oreille de Mécanofoux;75.9375
17974;Parasite Aquatique;75.9375
17988;Pierre Angulaire;75.9375
13978;Pédoncule de Mérulor;75.9375
13989;Plume de Cycloïde;75.9375
14817;Pince de Krabouilleur;75.9375
13993;Pic du Nocturlabe;75.9375
13972;Queue de Brikoglours;75.9375
13991;Queue de Sinistrofu;75.9375
15691;Sel de Baleine;75.9375
13946;Sépale de Drosérâle;75.9375
13916;Étoffe de Grodruche;75.9375
14823;Huile de Pikoleur;75.9375
16009;Élixir de Brumen;75.0
14921;Étoffe Mystérieuse;75.0
17443;Manche de Knout;73.124925
14935;Clef de la Pyramide d'Ombre;72.143625
10030;Tissu de Rapiéçage;69.395025
14682;Essence de Tanukouï San;67.5
15702;Essence du Capitaine Ekarlatte;67.5
7442;Rune Invo;67.5
18364;Étoile d'Or d'El Piko;67.407
11279;Scie à glace;65.81085
14663;Essence de Nagate;64.889475
18736;Clef du Camp du Comte Razof;63.6975
17989;Aile de Larve de Koutoulou;63.28125
15715;Aile de Vortex;63.28125
14864;Barbe de Merkator;63.28125
27402;Rouge à lèvres de Belladone;63.28125
13923;Moustache de Klime;63.28125
15445;Broderie de la Reine des Voleurs;63.28125
20913;Broderie de la Prêtresse de Kao;63.28125
13947;Broderie de Nileza;63.28125
18542;Cheveux de Tal Kasha;63.28125
25181;Sceptre brisé de Kabahal;63.28125
17982;Dentier de Dantinéa;63.28125
21207;Écaille de Torkélonia;63.28125
19068;Pic d'Anerice;63.28125
15176;Joyau de la couronne du roi Nidas;63.28125
