Ressources;XP;ID
Galet brasillant;1250;12740
Galet acajou;1250;
Rune Ga Pa;500;1557
Rune Ga Pme;405;1558
Coeur Gelé;375;13979
Alliage Ivre;375;13981
Braguette de Nileza;338;13948
Culotte de Missiz Frizz;338;13936
Incisive de Sylargh;338;13983
Scalp de Klime;338;13924
Bandelette du Comte Harebourg;338;13995
Coeur de Merkator;338;14865
Poche de magma de Grasmera;338;14268
Galet Solaire;313;13367
Cuir Onique;300;13980
Encre du Kralamoure géant;281;8812
Hamatum de Glourséleste;254;11944
Condyle de Fuji Givrefoux;254;11883
Étoffe de Kolosso;254;11932
Étoffe givrée;254;
Eclat temporel;254;11517
Fermeture éclair;200;14143
Mycoses gelées;200;14144
Oeil de verre;200;14145
Racine cristalline;200;14141
Boulon neuf;200;14142
Oeil de Korriandre;196;11896
Fragment d'Ougalurette;195;9281
Peau du Bworker;195;9401
Vertèbre d'Obsidiantre;161;11334
Cuir de Tengu Givrefoux;153;11342
Rune Po;130;7438
Galet rutilant;125;12738
Galet boucané;125;
Sabot du Minotot;120;8408
Corne du Minotot;120;
Cuir du Minotot;120;
Laine du Minotot;120;
Fémur du Minotot;120;
Chaussette du Kimbo;120;8789
Pierre précieuse du Kimbo;120;
Scapula de Ben le Ripate;116;11322
Bézoard Ardent de Grozilla;96;12468
Étoffe de Sphincter Cell;96;8487
Bec de Dodox;92;13942
Sépale de Drosérâle;92;13946
Crinière de Krakal;92;13940
Molaire de Nessil;92;13938
Carapace de Termystique;92;13944
Moustache de Frimar;92;13934
Malleus de Karkanik;92;13930
Ethmoïde de Stalak;92;13928
Molaire de Ventrublion;92;13926
Cervelle de Verglasseur;92;13932
Queue de Brikoglours;92;13972
Griffe de Kanimate;92;13950
Sternum de Mansordide;92;13974
Oreille de Mécanofoux;92;13976
Pédoncule de Mérulor;92;13978
Dent de Cuirboule;92;13922
Coeur d'Empaillé;92;13920
Étoffe de Grodruche;92;13916
Cervelle de Peunch;92;13917
Plume de Cycloïde;92;13989
Bec de Granduk;92;13985
Pic du Nocturlabe;92;13993
Queue de Sinistrofu;92;13991
Bec de Strigide;92;13987
Oeuf de Gobus;91;11533
