Ressources;XP
Agathe;21,31
Aigue-Marine;105,701
Aile Atrophiée de Tofu Dodu;9,515
Aile de Bourdard;0,395
Aile de Dragodinde;2,868
Aile de Dragodinde Dorée;4,03
Aile de Dragodinde Rousse Sauvage;3,391
Aile de Draguaindrop;10,913
Aile de Gloursaya;75
Aile de Gruche;15,893
Aile de Kérigoule;16,875
Aile de Larve de Koutoulou;84,375
Aile de Mansobèse;18,215
Aile d'Eninferno;20,25
Aile de Nocturlabe;16,875
Aile de Puceronde;9,676
Aile de Sinistrofu;16,875
Aile de Vortex;84,375
Aile du Bitouf des Plaines;1,634
Aile du Tofu Maléfique;0,105
Ailes de Moskito;0,075
Ailes de Scarafeuille Blanc;0,214
Ailes de Scarafeuille Bleu;0,214
Ailes de Scarafeuille Rouge;0,214
Ailes de Scarafeuille Vert;0,214
Ailes du Scarabosse Doré;0,946
Ailes du Scarafeuille Noir;0,221
Akaslip d'Akakwa;3
Alliage Ivre;750
Aluminite;1,2
Ambre;0,388
Ambre d'Abraknyde;2,081
Ambre d'Abraknyde Sombre;0,619
Ambre d'Abraknyde Sombre Irascible;11,918
Ambre du Chêne Mou;69,598
Ambre du Tynril;113,176
Ambre gris;160
Amygdales du Bitouf Sombre;3,653
Andésite;4
Anguille;0,15
Anguille Souroche;15
Antenne de Bacterrib;16,875
Antenne de Gloursaya;12,2
Antenne de Trésantène;1,458
Antennes de Vilinsekt;0,176
Apostrophe de Fugokam;30
Apostrophe d'Imafugo;30
Appendice Démoniaque;119,118
Aquarakne de Crânonier;16,875
Arakne Écrabouillée;5,54
Arakne Irascible Écrasée;11,983
Arakne Majeure Morte;1,982
Ardonite;17,025
Arête géante du Shamansot;19,654
Argent;0,17
Armure de Blindur;12,2
Armure de Tanklume;16,875
Artefact de Fumrirolle;34,848
Artefact Pandawushu;135,856
Artefact Pandawushu Bois;10,059
Artefact Pandawushu Eau;17,266
Artefact Pandawushu Feu;22,635
Artefact Pandawushu Roc;17,975
Artefact Pandawushu Vent;22,635
Astragale de Mécanofoux;16,875
Avoine;0,07
Avoine Aurifère;7
Avoine Magique;6,13
Baballe;3,174
Babines de Macien;0,565
Badge de Malicien;0,025
Baguette de Tétonuki;3
Baguette Rythmique;16,875
Bakélélite;5,1
Ballon bleu;0,025
Bananagrume;15,621
Bandeau de Black Wabbit Squelette;0,371
Bandeau de Nakunbra;1,103
Bandeau de Voapah;16,875
Bandeau du Black Tiwabbit;0,272
Bandeau troué d'Air;9,154
Bandeau troué d'Eau;9,154
Bandeau troué de Feu;9,154
Bandeau troué de Terre;9,154
Bandelette de Tromblion;3
Bandelette du Comte Harebourg;506,25
Bandelette du Guerrier Koalak;10,554
Bandelette du Mominotor;1,483
Bandelettes;1,012
Barbe de Merkator;84,375
Barbe de Seith;9,284
Barbe du Chouque;5,513
Barbe du Cyclophandre;16,875
Barbe du Wa Wobot;4,207
Barbe inexistante du Barbroussa;3,174
Bar Iton;22
Bar Rikain;0,22
Bâton de Blanc Pa Wabbit;0,841
Bâton du Kilibriss;10,032
Bauxite;0,2
Bave de Bouftou;0,041
Bave de Brokouillon;12,2
Bave de Champ à Gnons;9,258
Bave de Marthos;12,2
Bave de Mol Usk;16,875
Bave de Nessil;16,875
Bave de Ouassingue;1,443
Bave de Rose Démoniaque;0,398
Bave du Kaskargo;5,766
Bec de Dodox;101,25
Bec de Gélikan;5,679
Bec de Granduk;101,25
Bec de Kwakao;3
Bec de Mansordide;16,875
Bec de Strigide;101,25
Bec de Truchon;14,424
Bec de Vilain Petit Tofu;1,331
Bec du Kido;9,289
Bec du Kwak de Flamme;0,254
Bec du Kwak de Glace;0,254
Bec du Kwak de Terre;0,254
Bec du Kwak de Vent;0,254
Bec du Kwakwa;9,328
Bec du Timansot;16,973
Bec du Tofu;0,059
Belladone;0,22
Belladonzelle;22
Bézoard Ardent de Grozilla;142,327
Bidoche Avariée;62,212
Bidoche de Brousse;475,207
Bidoche Exsudative;29,006
Bidoche Faisandée;8,123
Bidoche Fraîche;119,725
Bidoche Frelatée;13,208
Bidoche Gâtée;967,647
Bidoche Intangible;26,316
Bidoche Ladre;44,76
Bidoche Macérée;377,82
Bidoche Maigre;797,18
Bidoche Minérale;4,654
Bidoche Persillée;301,444
Bidoche Rassie;100,28
Bidoche Saignante;237,261
Bidoche Sanguinolente;84,146
Bidoche Séchée;58,834
Bidoche Tendre;30,296
Bidule inutile;2,444
Biscuit de chance;26,439
Blé;0,03
Blé d'Or;3
Blop Mort;1,685
Bois d'Aquajou;10
Bois de Bambou;0,16
Bois de Bambou Sacré;0,26
Bois de Bambou Sombre;0,24
Bois d'Ébène;0,2
Bois de Bombu;0,11
Bois de Charme;0,22
Bois de Châtaignier;0,05
Bois de Chêne;0,1
Bois de Frêne;0,03
Bois de Kaliptus;0,21
Bois de Merisier;0,17
Bois de Noisetier;0,19
Bois de Noyer;0,07
Bois de pagaie usée;16,875
Bois de Pin;0,07
Bois d'Érable;0,12
Bois de Tremble;0,27
Bois de Tronknyde;0,206
Bois d'If;0,15
Bois d'Oliviolet;0,14
Bois d'Orme;0,25
Bois Vermoulu;0,448
Boîte de Vétauran;0,453
Bolas de Maltrio;4,792
Bombe de Graboule;1,012
Bonnet de Gobaliste;0,206
Bonnet de Guerre;75
Boomerang Abîmé de Diamantine;2,304
Boomerang du Dok Alako;4,318
Boomerang du Koalak Sanguin;11,099
Boomerang du Maître Koalak;12,878
Boomerang du Warko Marron;0,823
Boostoplasme;0,946
Botte trouée de Mégabwork;1,012
Boucle d'Orfélin;33,322
Boucle intemporelle;337,5
Boucle temporelle;337,5
Boue du Boo;0,116
Bouée de Fantomalamère;24,876
Boue Juvénile;0,134
Boue Mature;2,986
Boue Novice;0,785
Boue Vénérable;11,971
Bougie du Mineur Sombre;0,763
Boule de Boulépique;0,862
Boule de Panthègros;32,548
Boule en or de Piloztère;16,875
Boule polie;8,819
Boules de Kanniboul;2,683
Boulet de Canondorf;1,103
Boulet lesté;16,875
Boulier Zoth;2,924
Boulon de Cybwork;9,571
Boulon neuf;400
Boulon Wabbit;5,074
