Ressources;XP;ID
Clavicule de Boufmouth;11;11118
Œil de Boufmouth de guerre;11;
Cuir de Bouftonmouth;10;11120
Queue du Boufmouth Légendaire;13;11135
Huile de Mamansot;19;11226
Bec du Timansot;16;11222
Oreille du Fu Mansot;20;11231
Aile de Mansobèse;18;11224
Arête géante du Shamansot;19;11228
Œil torve de Fricochere;19;
Defense du Sanglacier;17;11242
Dent de Smilomouth;17;11240
Gland de l'Écumouth;16;11239
Etoffe de Kaniglou;20;11249
Œil de Vigie pirate;28;
Dent de Fantomat;33;11316
Coquille de Harpirate;24;11317
Corde du Fancrôme;24;11310
Huile de Fantimonier;24;11313
Bouée de Fantomalamère;24;11311
Ulna de Solfataré;31;11326
Artefact de Fumrirolle;34;11330
Tephra d'Atomystique;34;11324
Œuf de Crapeur;36;
Tuf de Mofette;9;11332
Cornée de Kami Givrefoux;40;11948
Patte de Soryo Givrefoux;40;11335
Crâne de Yokai Givrefoux;40;11340
Cuir de Maho Givrefoux;40;11337
Queue de Yomi Givrefoux;40;11882
Patte de Korriandre;48;11895
Oreille de Fistulor;51;11887
Pedoncule de Fongeur;51;11889
Pedoncule de Merulette;51;
Œil de Dramanite;51;
Racine d'Abrazif;51;11892
Griffe de Kolosso;61;11931
Manubrium de Wolvero;67;11922
Etoffe de Croleur;67;11925
Oreille de Blerice;67;11928
Poil de Blérauve;67;11924
Queue de Blerom;67;11929
Œil de Fleuro;69;
Calcaneus de Meliglours;75;11946
Aile de Gloursaya;75;11941
Laine de Glouragan;75;11937
Etoffe de Glourmand;75;11940
Vomer d'Aperiglours;75;11933
Iris de Boulglours;75;11935
Incisive de Sylargh;506;13983
Griffe de Kanimate;101;13950
Queue de Brikoglours;101;13972
Sternum de Mansordide;101;13974
Oreille de Mecanofoux;101;13976
Pédoncule de Mérulor;101;13978
Laine de Sylargh;84;13982
Canine de Kanimate;16;13949
Maxillaire de Brikoglours;16;13971
Bec de Mansordide;16;13973
Astragale de Mecanofoux;16;13975
Volve de Mérulor;16;13977
Scalp de Klime;506;13924
Dent de Cuirboule;101;13922
Etoffe de Grodruche;101;13916
Culotte de Harrogant;101;13914
Cœur d'Empaillé;101;
Cervelle de Peunch;101;13917
Moustache de Klime;84;13923
Cuir de Cuirboule;16,8;13921
Cuir de Grodruche;16,8;13915
Œil de Harrogant;16,8;
Cuir d'Empaillé;16,8;13919
Cuir de Peunch;16,8;13918
Braguette de Nileza;506;13948
Carapace de Termystique;101;13944
Sépale de Drosérâle;101;13946
Crinière de Krakal;101;13940
Bec de Dodox;101;13942
Molaire de Nessil;101;13938
Broderie de Nileza;84;13947
Patte de Termystique;16,8;13943
Bractée de Drosérâle;16;13945
Canine de Krakal;16;13939
Plume de Dodox;16;13941
Bave de Nessil;16;13937
Culotte de Missiz Frizz;506;13936
Moustache de Frimar;101;13934
Malleus de Karkanik;101;13930
Ethmoide de Stalak;101;13928
Molaire de Ventrublion;101;13926
Cervelle de Verglasseur;101;13932
Poil d'aisselle de Missiz Frizz;84;13935
Stapes de Frimar;16;13933
Sang de Karkanik;16;13929
Incisive de Stalak;16;13927
Sang de Ventrublion;16;13925
Incus de Verglasseur;16;13931
Patelle;10;17994
Salikrone;10;17992
Quisnoa;10;17993
Bois d'Aquajou;10;17991
Ecume de mer;10;
Parasite aquatique;101;17974
Pierre angulaire;101;
Peau de trithon;111;
Marque des grands fonds;640;17865
Steamopompe;640;17866
Filtre à frousse;640;17869
Socle en coquillage;640;17870
Hélice en laiton;640;17867
Plombs de plongée;640;17868
Bouteille de Bouchonnois;75;18735
Joyau de la couronne du roi Nidas;84;15176
Boule en or de Piloztère;16,8;15181
Kamatrix;24;15182
Morceau de clef de Paspartou;16,8;15180
Dent de lévitrof;16,8;15179
Corne de Kamasterisk;17,8;15177
Sourcil de Barbétoal;16,8;15178
Crochet rouillé;72;15531
Tete de mort;21;15444
Chaussette du Cyclophandre;101;14863
Pince de Krabouilleur;101;14817
Œil de Harpo;101;
Huile de Pikoleur;101;14823
Broderie d'Eskoglyphe;101;14861
Barbe de Merkator;84;14864
Barbe du Cyclophandre;16;14862
Carapace de Krabouilleur;16;14819
Sang de Harpo;16;14859
Pic de Pikoleur;16;14822
Cuir d'Eskoglyphe;16;14860
Frimousse d'Alhyene;34;15044
Peau de Kanihilan;33;15042
Etoffe de Kaniblou;33;15050
Boule de Panthègros;33;15048
Boucle d'Orfelin;33;15052
Canine de Félygiène;33;15046
Poils de Kanigroula;29;15039
Tignasse de Kanihilan;5;15041
Oreille de Kaniblou;5;15049
Chaine de Panthégros;5;
Crinière d'Orfelin;5;15051
Griffe de Félygiene;5;15045
Cheveux d'Alhyene;5;15043
Rune Invo;45;7442
Rune Po;130;7438
Rune Ga Pme;405;1558
Rune Ga Pa;500;1557
