ID;Ressources;XP
27631;Cristal inhibiteur;20000.0
27013;Croquette infusée du Kozaru;13956.045
27012;Croquette infusée du Kitsou;13886.146
26999;Croquette infusée du Kanig;13783.734
27020;Croquette infusée du Dragoeuf;13763.172
26996;Croquette infusée du Mulou;13734.525
30126;Croquette infusée du Timansot;13700.537
27009;Croquette infusée de la Truche;13688.638
26998;Croquette infusée du Trool;13684.047
27006;Croquette infusée de l'Abraknyde;13675.836
30125;Croquette infusée du Bambouto;13672.106
27015;Croquette infusée du Pandore;13667.518
26997;Croquette infusée du Moskito;13666.442
27018;Croquette infusée de la Boursoin;13660.268
27011;Croquette infusée du Koalak;13657.993
26995;Croquette infusée du Wabbit;13649.686
26994;Croquette infusée du Bwork;13646.887
30124;Croquette infusée de la Léolhyène;13641.762
30122;Croquette infusée du Scarafeuille;13634.484
27014;Croquette infusée du Scorbute;13633.458
27007;Croquette infusée de la Domoizelle;13632.924
27017;Croquette infusée du Champa;13632.068
27003;Croquette infusée du Chafer;13631.206
27005;Croquette infusée du Craqueleur;13628.812
27004;Croquette infusée de la Krokille;13625.937
30123;Croquette infusée du Thomondor;13625.893
27016;Croquette infusée du Noeul;13624.646
27008;Croquette infusée du Piou;13624.513
27002;Croquette infusée du Bwak;13624.131
27000;Croquette infusée de la Boufette;13623.817
27001;Croquette infusée du Gloutoblop;13622.913
27019;Croquette infusée de la Tofoune;13621.8
27010;Croquette infusée de l'Arakne;13619.286
21205;Binocles du Grand Chronomaître;7952.689
20968;Reflet de Bébémoth;7932.121
17965;Accélérateur de propulsion;5892.304
17967;Attrape-peur;5746.875
17963;Sceau des fondateurs;5746.875
20970;Cristal intemporel;5739.379
20969;Cristal temporel;5739.379
17966;Lest anti-tourbillon;5131.487
28279;Pièces de module;5000.0
17968;Statuette de Snedon;4974.375
17964;Volant hydraulique;4974.375
20961;Relique de Bébémoth;3681.818
32294;Carte de Psikopompe;3037.5
32293;Carte de Mekamouth;3037.5
32292;Carte de Glourdorak;3037.5
32291;Carte de Culbutœuf;3037.5
19115;Carte du Chevalier de Glace;3037.5
17643;Carte d'Atcham;3037.5
17240;Carte de Voldelor;3037.5
17230;Carte de Kongoku;3037.5
16042;Carte de l'Hyperscampe;3037.5
15382;Carte de Gein;3037.5
12740;Galet brasillant;2500.0
20972;Nanogrine;1875.939
10272;Masque à Zag;1826.424
32948;Carte de Predagob;1647.0
32287;Carte de la Fuji Givrefoux;1647.0
17161;Bidoche Goûtue;1569.389
15479;Carte de Dremoan;1480.5
32293;Carte de Mekamouth;3037.5
32292;Carte de Glourdorak;3037.5
32291;Carte de Culbutœuf;3037.5
19115;Carte du Chevalier de Glace;3037.5
17643;Carte d'Atcham;3037.5
17240;Carte de Voldelor;3037.5
17230;Carte de Kongoku;3037.5
16042;Carte de l'Hyperscampe;3037.5
15382;Carte de Gein;3037.5
12740;Galet brasillant;2500.0
20972;Nanogrine;1875.939
10272;Masque à Zag;1826.424
32948;Carte de Predagob;1647.0
32287;Carte de la Fuji Givrefoux;1647.0
17161;Bidoche Goûtue;1569.389
15479;Carte de Dremoan;1480.5
32290;Carte de Viti Glourson;1401.75
32289;Carte de Docteur Eggob;1372.5
32288;Carte de Flasho;1372.5
32286;Carte du YeCh'Ti;1323.0
17159;Bidoche Noire;1253.425
29444;Galet rayonnant;1250.0
32947;Carte du Shushu Debruk'Sayl;1233.75
17247;Carte du Guerrier du K.O.;1233.75
32285;Carte de la Vengeuse Masquée;1189.558
17262;Carte de Zatoïshwan;1035.0
17118;Peau du Grand Kongoku;1000.0
17117;Pied de Voldelor;1000.0
16008;Batterie rechargeable de l'Hyperscampe;1000.0
15551;Bouteille de Gein;1000.0
14977;Bitte d'amarrage;1000.0
14936;Insigne des Justiciers;1000.0
14868;Vieille Tête de Marteau;1000.0
13196;Cuir synthétique;1000.0
11795;Racine de synthèse;1000.0
17254;Carte d'Anatak;978.75
17157;Bidoche Gâtée;967.647
32284;Carte de Fantômayte;905.625
32946;Carte de Fojumo;904.5
