ID;Ressources;XP;last_maj
16419;Potion des Ancêtres;7.0;2026-03-03T07:24
16492;Planche de Surf;3.0;2026-03-03T07:24
16493;Planche à Repasser;6.0;2026-03-03T07:24
8358;Croc de Dragoeuf Protecteur;9.77;2026-03-03T07:24
8381;Queue Magique de Founoroshi;18.0;2026-03-03T07:24
8384;Étoffe Magique de Moon;32.0;2026-03-03T07:24
8392;Peau de Don Duss Ang;2.0;2026-03-03T07:24
8400;Piques à cheveux de Shihan;18.5;2026-03-03T07:24
8401;Écharpe de Hanshi;18.54;2026-03-03T07:24
8402;Pierre du Koulosse;32.0;2026-03-03T07:24
8439;Clef du Garde-manger du Rat Blanc;25.0;2026-03-03T07:24
8487;Étoffe de Sphincter Cell;142.0;2026-03-03T07:24
315;Diamant;3.0;2026-03-03T07:24
8557;Plume de Batofu;1.0;2026-03-03T07:24
8571;Poil de Rat Brâkmarien;11.0;2026-03-03T07:24
465;Cristal;8.0;2026-03-03T07:24
8758;Morceau de caleçon de Gourlo;3.0;2026-03-03T07:24
8769;Coco du Bitouf des Plaines;9.0;2026-03-03T07:24
8772;Écorce de Brouture;20.0;2026-03-03T07:24
8781;Calice de Fécorce;3.0;2026-03-03T07:24
598;Greuvette;0.0;2026-03-03T07:24
8793;Coquille du Kaskargo;34.0;2026-03-03T07:24
8796;Nœud de l'Abrakleur clair;34.0;2026-03-03T07:24
25177;Diadème de Belilith;20.0;2026-03-03T07:24
650;Duvet de Bourdard;2.0;2026-03-03T07:24
17037;Essence de Kardorim;1.0;2026-03-03T07:24
746;Ébonite;2.0;2026-03-03T07:24
17131;Bidoche Tendre;30.0;2026-03-03T07:24
17133;Bidoche Ladre;44.0;2026-03-03T07:24
846;Œuf de Dragoeuf Charbon;4.0;2026-03-03T07:24
9267;Trompe de la Tromperelle;9.0;2026-03-03T07:24
9277;Œil de Champmane;9.0;2026-03-03T07:24
25756;Crâne magique de Rate Atinée;1.8;2026-03-03T07:24
25757;Tuyau Rouillé de Rate Iboisée;1.5;2026-03-03T07:24
25758;Lance-Pierre de Scélée Rate;1.0;2026-03-03T07:24
9391;Fleur de Blop Multicolore Royal;43.0;2026-03-03T07:24
17616;Poil de Chacrebleu;5.0;2026-03-03T07:24
17617;Collier de Chakichan;5.0;2026-03-03T07:24
17624;Ceinture de la Dame;16.0;2026-03-03T07:24
1463;Fiole à élément;2.0;2026-03-03T07:24
1527;Métaria bleue;1.0;2026-03-03T07:24
1528;Métaria jaune;1.0;2026-03-03T07:24
1534;Métaria Triame jaune;7.0;2026-03-03T07:24
1569;Clef du Donjon des Forgerons;4.0;2026-03-03T07:24
17973;Queue de Mantaze;16.0;2026-03-03T07:24
17980;Épine de Diondin;16.0;2026-03-03T07:24
17983;Tentacule de Grofond;16.0;2026-03-03T07:24
17991;Bois d'Aquajou;10.0;2026-03-03T07:24
17995;Écume de mer;10.0;2026-03-03T07:24
1682;Écorce de Liroye Merline;5.0;2026-03-03T07:24
26316;Pétale de Malter;28.0;2026-03-03T07:24
9935;Corde d'escalade;13.0;2026-03-03T07:24
1759;Crabe Sourimi Exotique;6.0;2026-03-03T07:24
9969;Salace de poissons empoisonnée;52.0;2026-03-03T07:24
1782;Goujon;0.02;2026-03-03T07:24
1894;Poil de Gliglitch;4.4;2026-03-03T07:24
18383;Picot d'El Piko;15.0;2026-03-03T07:24
18563;Langue de Morsquale;8.0;2026-03-03T07:24
18564;Patte de Masticroc;7.67;2026-03-03T07:24
2273;Tissu Pourpre;1.0;2026-03-03T07:24
2280;Paille Vampiresque;1.0;2026-03-03T07:24
18729;Sang de Viandargh;12.0;2026-03-03T07:24
2483;Bidule inutile;2.0;2026-03-03T07:24
2513;Étoffe de Gliglidoudur;4.25;2026-03-03T07:24
2539;Substrat de Buisson;2.0;2026-03-03T07:24
2550;Étoffe de Foufayteur;3.0;2026-03-03T07:24
2555;Courroie en cuir;2.0;2026-03-03T07:24
2564;Sourcils de Tronknyde;1.0;2026-03-03T07:24
2645;Groin de Dragon Cochon;5.0;2026-03-03T07:24
19070;Aile de Kérigoule;16.0;2026-03-03T07:24
19071;Œil de Gouligane;16.0;2026-03-03T07:24
19072;Poils de Goultime;16.0;2026-03-03T07:24
19073;Nez de Pipisteuse;16.0;2026-03-03T07:24
27368;La cambriole pour les Nuls;1.0;2026-03-03T07:24
27374;Clef du Refuge sylvestre;5.0;2026-03-03T07:24
2805;Testicules Magiques de Muloubard;8.0;2026-03-03T07:24
27397;Liane de Soldalia;16.0;2026-03-03T07:24
27398;Mousse de Caméliache;16.0;2026-03-03T07:24
27399;Épine d'Armuguet;16.0;2026-03-03T07:24
27400;Poing de Coquelicogne;16.0;2026-03-03T07:24
27401;Casque de Statulipe;16.0;2026-03-03T07:24
